,time,flux,flux_err
0,0.0,0.9728726810565677,0.001
1,0.02,0.9737650237651674,0.001
2,0.04,0.9807113673193627,0.001
3,0.06,0.9887278188076258,0.001
4,0.08,0.9929619103263925,0.001
5,0.1,0.9985259672761726,0.001
6,0.12,0.9987545304586717,0.001
7,0.14,0.9999561469154958,0.001
8,0.16,0.9998770482241581,0.001
9,0.18,0.9986048028798232,0.001
10,0.2,0.9996931263168005,0.001
11,0.22,0.9983116420398211,0.001
12,0.24,0.9999444277193266,0.001
13,0.26,0.9986402016744381,0.001
14,0.28,0.9992679306099357,0.001
15,0.3,0.999871083800308,0.001
16,0.32,0.9997713772436643,0.001
17,0.34,0.9997680631862939,0.001
18,0.36,1.0001204108179378,0.001
19,0.38,0.999972841808088,0.001
20,0.4,0.9988697443916995,0.001
21,0.42,1.0005518128150905,0.001
22,0.44,1.0006408771862425,0.001
23,0.46,0.9994258649783143,0.001
24,0.48,0.9978960529867364,0.001
25,0.5,0.9995785566405008,0.001
26,0.52,1.0000258381979985,0.001
27,0.54,0.9993820575946416,0.001
28,0.56,1.0010388629856648,0.001
29,0.58,1.000330785962668,0.001
30,0.6,0.9989730858690993,0.001
31,0.62,0.9979561057902159,0.001
32,0.64,1.0006411332492098,0.001
33,0.66,0.9987688547240626,0.001
34,0.68,0.9988880654586251,0.001
35,0.7000000000000001,0.9996231277178261,0.001
36,0.72,1.0004002134362322,0.001
37,0.74,1.0005248398888755,0.001
38,0.76,0.9997778317879823,0.001
39,0.78,0.9982286157238306,0.001
40,0.8,0.9999988366118558,0.001
41,0.8200000000000001,0.9983166854956832,0.001
42,0.84,1.001276074511726,0.001
43,0.86,1.0007980931703089,0.001
44,0.88,0.9999071025133806,0.001
45,0.9,1.0023952047802211,0.001
46,0.92,0.9998263959479932,0.001
47,0.9400000000000001,0.9992782103346013,0.001
48,0.96,0.9994791909484532,0.001
49,0.98,0.999636084744197,0.001
50,1.0,0.9996081034578229,0.001
51,1.02,1.0007480838103502,0.001
52,1.04,0.9982903168306411,0.001
53,1.06,1.0004904236073295,0.001
54,1.08,0.9988157953185927,0.001
55,1.1,1.0007126040356578,0.001
56,1.12,0.9992454881080083,0.001
57,1.1400000000000001,1.0001967959587708,0.001
58,1.16,1.000828971101647,0.001
59,1.18,0.9991758328697912,0.001
60,1.2,0.9983824456728001,0.001
61,1.22,0.9990698824875072,0.001
62,1.24,1.0021445777905502,0.001
63,1.26,0.998937876424969,0.001
64,1.28,0.9978796419071866,0.001
65,1.3,0.9997973632767388,0.001
66,1.32,1.0000496514811286,0.001
67,1.34,0.9992517797476365,0.001
68,1.36,1.0006454712575368,0.001
69,1.3800000000000001,1.0000204740804264,0.001
70,1.4000000000000001,0.9998372478388617,0.001
71,1.42,0.9997659479568809,0.001
72,1.44,1.0012850488257716,0.001
73,1.46,0.9995247921693243,0.001
74,1.48,0.9993860966164372,0.001
75,1.5,0.9990532212015387,0.001
76,1.52,1.000419494957344,0.001
77,1.54,0.9999396896825915,0.001
78,1.56,1.0012460473900944,0.001
79,1.58,1.0016335598079757,0.001
80,1.6,1.002161818633197,0.001
81,1.62,0.9990840509316248,0.001
82,1.6400000000000001,1.001329853333058,0.001
83,1.6600000000000001,1.000123518316145,0.001
84,1.68,0.9999680949518772,0.001
85,1.7,0.9997027772518037,0.001
86,1.72,0.9998675238329316,0.001
87,1.74,1.0017967581051919,0.001
88,1.76,0.9987445645998512,0.001
89,1.78,0.9999974447887818,0.001
90,1.8,0.998965931362171,0.001
91,1.82,1.002346472834243,0.001
92,1.84,1.0004432954091118,0.001
93,1.86,1.0001875496687362,0.001
94,1.8800000000000001,1.0001264710680857,0.001
95,1.9000000000000001,0.9998576575791761,0.001
96,1.92,0.9992496393484122,0.001
97,1.94,1.000470803930703,0.001
98,1.96,0.9996768891631,0.001
99,1.98,1.0001017292317729,0.001
100,2.0,0.9987348024772157,0.001
101,2.02,1.00043634736952,0.001
102,2.04,1.0010540462353348,0.001
103,2.06,0.9989078122055748,0.001
104,2.08,1.000877117806945,0.001
105,2.1,0.9991223779526678,0.001
106,2.12,0.9999981092918574,0.001
107,2.14,1.000574555608089,0.001
108,2.16,1.0009948651679752,0.001
109,2.18,1.0001002780012342,0.001
110,2.2,1.0019829155671247,0.001
111,2.22,1.0006454055344987,0.001
112,2.24,1.0019448042336505,0.001
113,2.2600000000000002,1.0019550028160031,0.001
114,2.2800000000000002,1.0011484287334298,0.001
115,2.3000000000000003,0.9993662570844226,0.001
116,2.32,0.9999598310386955,0.001
117,2.34,0.9990610534000322,0.001
118,2.36,0.9999169129759986,0.001
119,2.38,1.0000587338684308,0.001
120,2.4,0.9991885854791138,0.001
121,2.42,0.998957231468814,0.001
122,2.44,1.0001068169816953,0.001
123,2.46,1.0008531030769434,0.001
